IREB2,ACONT
ACO1,ACONT
OGDH,AKGDm
DLD,AKGDm
PDHX,AKGDm
DLST,AKGDm
FH,FUM
FH,FUMm
IDH3G,ICDHxm
IDH3B,ICDHxm
IDH3A,ICDHxm
IDH1,ICDHyr
IDH1,ICDHyp
IDH2,ICDHym
MDH2,MDHm
ACO2,ACONTm
CLYBL,CITL
CS,CSm
MDH1B,MDH
MDH1,MDH
SDHD,SUCD1m
SDHB,SUCD1m
SDHC,SUCD1m
SDHA,SUCD1m
SUCLG2,SUCOAS1m
SUCLG1,SUCOAS1m
SUCLG1,SUCOASm
SUCLA2,SUCOASm
PANK1,PNTK
PANK3,PNTK
PANK2,PNTK
PANK4,PNTK
PANK2,PNTKm
PPCDC,PPCDC
PPCS,PPNCL3
COASY,DPCOAK
COASY,PTPATi
VNN3,PNTEH
VNN2,PNTEH
VNN1,PNTEH
ACP2,LAPCOAl
SULT1A4,4NPHSULT
SULT1A1,4NPHSULT
SULT1A2,4NPHSULT
CYP2A13,P4502A6
CYP2A6,P4502A6
CYP2C18,P4502C18
CYP2C19,P4502C19
CYP2C8,P4502C8
CYP2C9,P4502C9
CYP2D6,P4502D6
CYP2E1,P4502E1
CYP3A4,P4503A4
CYP4A11,FAH1
CYP4A11,FAH2
CYP4A11,FAH3
CYP2F1,P4502F1
CYP3A5,P4503A5
CYP4F12,P4504F123r
GOT1,3SALATAi
GOT2,3SALATAim
GOT1,CYSTA
GOT2,CYSTAm
CTH,CYSTGL
GOT1,LCYSTAT
GOT2,LCYSTATm
LDHC,MCLOR
UEVLD,MCLOR
LDHA,MCLOR
LDHB,MCLOR
LDHAL6A,MCLOR
LDHAL6B,MCLOR
MPST,MCPST
MDH2,SLDxm
SUOX,SULFOX
TST,CYANSTm
MDH1B,SLDx
MDH1,SLDx
DAO,DALAOXx
SLC16A1,PYRt2p
SLC16A7,PYRt2p
DAO,DARGOp
DAO,DORNOp
ALOX12,ALOX12
ALOX15B,ALOX15
ALOX15,ALOX15
ALOX5,ALOX5
ALOX5,ALOX52
CBR1,CBR1
CBR1,CBR2
LTA4H,LTA4H
MGST3,LTC4Sr
MGST2,LTC4Sr
