genelistrounded,grRatio,CL,Gene,Cell Line
55191,1,COLO-205,NADSYN1,COLO-205
549,0.995845288,COLO-205,AUH,COLO-205
55577,1,COLO-205,NAGK,COLO-205
6309,0,COLO-205,SC5D,COLO-205
3294,1,COLO-205,HSD17B2,COLO-205
54407,1,COLO-205,SLC38A2,COLO-205
81539,1,COLO-205,SLC38A1,COLO-205
55315,1,COLO-205,SLC29A3,COLO-205
7390,1,COLO-205,UROS,COLO-205
80055,1,COLO-205,PGAP1,COLO-205
80235,1,COLO-205,PIGZ,COLO-205
175,1,COLO-205,AGA,COLO-205
2571,1,COLO-205,GAD1,COLO-205
9453,1,COLO-205,GGPS1,COLO-205
60490,1,COLO-205,PPCDC,COLO-205
10400,1,COLO-205,PEMT,COLO-205
10554,1,COLO-205,AGPAT1,COLO-205
10555,1,COLO-205,AGPAT2,COLO-205
137964,1,COLO-205,GPAT4,COLO-205
55326,1,COLO-205,AGPAT5,COLO-205
56894,1,COLO-205,AGPAT3,COLO-205
56895,1,COLO-205,AGPAT4,COLO-205
3425,1,COLO-205,IDUA,COLO-205
9514,1,COLO-205,GAL3ST1,COLO-205
2628,1,COLO-205,GATM,COLO-205
57026,1,COLO-205,PDXP,COLO-205
5728,1,COLO-205,PTEN,COLO-205
5172,1,COLO-205,SLC26A4,COLO-205
4907,1,COLO-205,NT5E,COLO-205
3658,1,COLO-205,IREB2,COLO-205
48,1,COLO-205,ACO1,COLO-205
55650,1,COLO-205,PIGV,COLO-205
1468,1,COLO-205,SLC25A10,COLO-205
51179,1,COLO-205,HAO2,COLO-205
54363,1,COLO-205,HAO1,COLO-205
27235,1,COLO-205,COQ2,COLO-205
79087,1,COLO-205,ALG12,COLO-205
2523,1,COLO-205,FUT1,COLO-205
6581,1,COLO-205,SLC22A3,COLO-205
847,1,COLO-205,CAT,COLO-205
53947,1,COLO-205,A4GALT,COLO-205
10327,1,COLO-205,AKR1A1,COLO-205
231,1,COLO-205,AKR1B1,COLO-205
1716,1,COLO-205,DGUOK,COLO-205
50808,1,COLO-205,AK3,COLO-205
2544,1,COLO-205,SLC37A4,COLO-205
10965,1,COLO-205,ACOT2,COLO-205
953,1,COLO-205,ENTPD1,COLO-205
954,1,COLO-205,ENTPD2,COLO-205
955,1,COLO-205,ENTPD6,COLO-205
956,1,COLO-205,ENTPD3,COLO-205
957,1,COLO-205,ENTPD5,COLO-205
64841,1,COLO-205,GNPNAT1,COLO-205
55089,1,COLO-205,SLC38A4,COLO-205
28232,1,COLO-205,SLCO3A1,COLO-205
9488,1,COLO-205,PIGB,COLO-205
6715,1,COLO-205,SRD5A1,COLO-205
6716,1,COLO-205,SRD5A2,COLO-205
8443,1,COLO-205,GNPAT,COLO-205
226,1,COLO-205,ALDOA,COLO-205
230,1,COLO-205,ALDOC,COLO-205
6487,1,COLO-205,ST3GAL3,COLO-205
100,1,COLO-205,ADA,COLO-205
5372,1,COLO-205,PMM1,COLO-205
5373,1,COLO-205,PMM2,COLO-205
55276,1,COLO-205,PGM2,COLO-205
6529,1,COLO-205,SLC6A1,COLO-205
6538,1,COLO-205,SLC6A11,COLO-205
6539,1,COLO-205,SLC6A12,COLO-205
6540,1,COLO-205,SLC6A13,COLO-205
8309,1,COLO-205,ACOX2,COLO-205
3712,0.995845288,COLO-205,IVD,COLO-205
23483,1,COLO-205,TGDS,COLO-205
23057,1,COLO-205,NMNAT2,COLO-205
349565,1,COLO-205,NMNAT3,COLO-205
2548,1,COLO-205,GAA,COLO-205
11226,1,COLO-205,GALNT6,COLO-205
11227,1,COLO-205,GALNT5,COLO-205
114805,1,COLO-205,GALNT13,COLO-205
117248,1,COLO-205,GALNT15,COLO-205
2589,1,COLO-205,GALNT1,COLO-205
2590,1,COLO-205,GALNT2,COLO-205
2591,1,COLO-205,GALNT3,COLO-205
26290,1,COLO-205,GALNT8,COLO-205
50614,1,COLO-205,GALNT9,COLO-205
51809,1,COLO-205,GALNT7,COLO-205
55568,1,COLO-205,GALNT10,COLO-205
63917,1,COLO-205,GALNT11,COLO-205
79623,1,COLO-205,GALNT14,COLO-205
79695,1,COLO-205,GALNT12,COLO-205
8693,1,COLO-205,GALNT4,COLO-205
6505,1,COLO-205,SLC1A1,COLO-205
6506,1,COLO-205,SLC1A2,COLO-205
6507,1,COLO-205,SLC1A3,COLO-205
6511,1,COLO-205,SLC1A6,COLO-205
6512,1,COLO-205,SLC1A7,COLO-205
39,0.971538604,COLO-205,ACAT2,COLO-205
10678,1,COLO-205,B3GNT2,COLO-205
1036,1,COLO-205,CDO1,COLO-205
6476,1,COLO-205,SI,COLO-205
57282,1,COLO-205,SLC4A10,COLO-205
9498,1,COLO-205,SLC4A8,COLO-205
6448,1,COLO-205,SGSH,COLO-205
2542,1,COLO-205,SLC37A4,COLO-205
239,1,COLO-205,ALOX12,COLO-205
23396,1,COLO-205,PIP5K1C,COLO-205
8394,1,COLO-205,PIP5K1A,COLO-205
8395,1,COLO-205,PIP5K1B,COLO-205
5092,1,COLO-205,PCBD1,COLO-205
4597,0,COLO-205,MVD,COLO-205
26,1,COLO-205,AOC1,COLO-205
314,1,COLO-205,AOC2,COLO-205
8639,1,COLO-205,AOC3,COLO-205
3251,1,COLO-205,HPRT1,COLO-205
26873,1,COLO-205,OPLAH,COLO-205
2655,1,COLO-205,GGCT,COLO-205
6472,1,COLO-205,SHMT2,COLO-205
5834,1,COLO-205,PYGB,COLO-205
5836,1,COLO-205,PYGL,COLO-205
5837,1,COLO-205,PYGM,COLO-205
2181,1,COLO-205,ACSL3,COLO-205
978,1,COLO-205,CDA,COLO-205
2766,1,COLO-205,GMPR,COLO-205
51292,1,COLO-205,GMPR2,COLO-205
2135,1,COLO-205,EXTL2,COLO-205
8802,0.948540743,COLO-205,SUCLG1,COLO-205
8803,1,COLO-205,SUCLA2,COLO-205
11041,1,COLO-205,B4GAT1,COLO-205
284208,1,COLO-205,B3GNTL1,COLO-205
374907,1,COLO-205,B3GNT8,COLO-205
79369,1,COLO-205,B3GNT4,COLO-205
93010,1,COLO-205,B3GNT7,COLO-205
2651,1,COLO-205,GCNT2,COLO-205
65010,1,COLO-205,SLC26A6,COLO-205
1583,1,COLO-205,CYP11A1,COLO-205
291,1,COLO-205,SLC25A4,COLO-205
292,1,COLO-205,SLC25A5,COLO-205
293,1,COLO-205,SLC25A6,COLO-205
3158,0.998875149,COLO-205,HMGCS2,COLO-205
587,1,COLO-205,BCAT2,COLO-205
3242,0.990866007,COLO-205,HPD,COLO-205
3293,1,COLO-205,HSD17B3,COLO-205
216,1,COLO-205,ALDH1A1,COLO-205
224,1,COLO-205,ALDH3A2,COLO-205
501,1,COLO-205,ALDH7A1,COLO-205
8854,1,COLO-205,ALDH1A2,COLO-205
10317,1,COLO-205,B3GALT5,COLO-205
27306,1,COLO-205,HPGDS,COLO-205
5730,1,COLO-205,PTGDS,COLO-205
29920,1,COLO-205,PYCR2,COLO-205
65263,1,COLO-205,PYCR3,COLO-205
3283,1,COLO-205,HSD3B1,COLO-205
3028,0.9953757,COLO-205,HSD17B10,COLO-205
11164,1,COLO-205,NUDT5,COLO-205
3418,1,COLO-205,IDH2,COLO-205
8310,1,COLO-205,ACOX3,COLO-205
8228,1,COLO-205,PNPLA4,COLO-205
23539,1,COLO-205,SLC16A8,COLO-205
9123,1,COLO-205,SLC16A3,COLO-205
9194,1,COLO-205,SLC16A7,COLO-205
4507,1,COLO-205,MTAP,COLO-205
53354,1,COLO-205,PANK1,COLO-205
55229,1,COLO-205,PANK4,COLO-205
79646,1,COLO-205,PANK3,COLO-205
80025,1,COLO-205,PANK2,COLO-205
8647,1,COLO-205,ABCB11,COLO-205
8714,1,COLO-205,ABCC3,COLO-205
8869,1,COLO-205,ST3GAL5,COLO-205
51477,1,COLO-205,ISYNA1,COLO-205
7364,1,COLO-205,UGT2B7,COLO-205
7367,1,COLO-205,UGT2B17,COLO-205
5236,1,COLO-205,PGM1,COLO-205
2348,1,COLO-205,FOLR1,COLO-205
2351,1,COLO-205,,COLO-205
2352,1,COLO-205,FOLR3,COLO-205
29906,1,COLO-205,ST8SIA5,COLO-205
10588,1,COLO-205,MTHFS,COLO-205
5833,1,COLO-205,PCYT2,COLO-205
2593,1,COLO-205,GAMT,COLO-205
4128,1,COLO-205,MAOA,COLO-205
4129,1,COLO-205,MAOB,COLO-205
79178,1,COLO-205,THTPA,COLO-205
5297,1,COLO-205,PI4KA,COLO-205
5298,1,COLO-205,PI4KB,COLO-205
55361,1,COLO-205,PI4K2A,COLO-205
