genelistrounded,grRatio,CL,Gene,Cell Line
2766,1,786-0 ,GMPR,786-0
51292,1,786-0 ,GMPR2,786-0
2135,1,786-0 ,EXTL2,786-0
8802,0.954282546,786-0 ,SUCLG1,786-0
8803,1,786-0 ,SUCLA2,786-0
11041,1,786-0 ,B4GAT1,786-0
284208,1,786-0 ,B3GNTL1,786-0
374907,1,786-0 ,B3GNT8,786-0
79369,1,786-0 ,B3GNT4,786-0
93010,1,786-0 ,B3GNT7,786-0
2651,1,786-0 ,GCNT2,786-0
65010,1,786-0 ,SLC26A6,786-0
1583,1,786-0 ,CYP11A1,786-0
291,1,786-0 ,SLC25A4,786-0
292,1,786-0 ,SLC25A5,786-0
293,1,786-0 ,SLC25A6,786-0
3158,0.999281566,786-0 ,HMGCS2,786-0
587,1,786-0 ,BCAT2,786-0
3242,0.996803521,786-0 ,HPD,786-0
3293,1,786-0 ,HSD17B3,786-0
216,1,786-0 ,ALDH1A1,786-0
224,1,786-0 ,ALDH3A2,786-0
501,1,786-0 ,ALDH7A1,786-0
8854,1,786-0 ,ALDH1A2,786-0
10317,1,786-0 ,B3GALT5,786-0
27306,1,786-0 ,HPGDS,786-0
5730,1,786-0 ,PTGDS,786-0
29920,1,786-0 ,PYCR2,786-0
65263,1,786-0 ,PYCR3,786-0
3283,1,786-0 ,HSD3B1,786-0
3028,0.99861058,786-0 ,HSD17B10,786-0
11164,1,786-0 ,NUDT5,786-0
3418,1,786-0 ,IDH2,786-0
8310,1,786-0 ,ACOX3,786-0
8228,1,786-0 ,PNPLA4,786-0
23539,1,786-0 ,SLC16A8,786-0
9123,1,786-0 ,SLC16A3,786-0
9194,1,786-0 ,SLC16A7,786-0
4507,1,786-0 ,MTAP,786-0
53354,1,786-0 ,PANK1,786-0
55229,1,786-0 ,PANK4,786-0
79646,1,786-0 ,PANK3,786-0
80025,1,786-0 ,PANK2,786-0
8647,1,786-0 ,ABCB11,786-0
8714,1,786-0 ,ABCC3,786-0
8869,1,786-0 ,ST3GAL5,786-0
51477,1,786-0 ,ISYNA1,786-0
7364,1,786-0 ,UGT2B7,786-0
7367,1,786-0 ,UGT2B17,786-0
5236,1,786-0 ,PGM1,786-0
2348,1,786-0 ,FOLR1,786-0
2351,1,786-0 ,,786-0
2352,1,786-0 ,FOLR3,786-0
29906,1,786-0 ,ST8SIA5,786-0
10588,1,786-0 ,MTHFS,786-0
5833,1,786-0 ,PCYT2,786-0
2593,1,786-0 ,GAMT,786-0
4128,1,786-0 ,MAOA,786-0
4129,1,786-0 ,MAOB,786-0
79178,1,786-0 ,THTPA,786-0
5297,1,786-0 ,PI4KA,786-0
5298,1,786-0 ,PI4KB,786-0
55361,1,786-0 ,PI4K2A,786-0
113235,1,786-0 ,SLC46A1,786-0
10768,1,786-0 ,AHCYL1,786-0
191,1,786-0 ,AHCY,786-0
140679,1,786-0 ,SLC32A1,786-0
2653,0.891396324,786-0 ,GCSH,786-0
2731,0.891396324,786-0 ,GLDC,786-0
275,0.891396324,786-0 ,AMT,786-0
55902,1,786-0 ,ACSS2,786-0
30833,1,786-0 ,NT5C,786-0
64850,1,786-0 ,ETNPPL,786-0
64902,1,786-0 ,AGXT2,786-0
266722,1,786-0 ,HS6ST3,786-0
90161,1,786-0 ,HS6ST2,786-0
9394,1,786-0 ,HS6ST1,786-0
1638,1,786-0 ,DCT,786-0
2821,0.972021775,786-0 ,GPI,786-0
112611,1,786-0 ,RWDD2A,786-0
97,1,786-0 ,ACYP1,786-0
98,1,786-0 ,ACYP2,786-0
27232,1,786-0 ,GNMT,786-0
1312,1,786-0 ,COMT,786-0
10396,1,786-0 ,ATP8A1,786-0
57194,1,786-0 ,ATP10A,786-0
5471,0,786-0 ,PPAT,786-0
1854,1,786-0 ,DUT,786-0
3340,1,786-0 ,NDST1,786-0
64579,1,786-0 ,NDST4,786-0
8509,1,786-0 ,NDST2,786-0
9348,1,786-0 ,NDST3,786-0
3795,1,786-0 ,KHK,786-0
124,1,786-0 ,ADH1A,786-0
125,1,786-0 ,ADH1B,786-0
126,1,786-0 ,ADH1C,786-0
127,1,786-0 ,ADH4,786-0
128,1,786-0 ,ADH5,786-0
130,1,786-0 ,ADH6,786-0
131,1,786-0 ,ADH7,786-0
137872,1,786-0 ,ADHFE1,786-0
284273,1,786-0 ,ZADH2,786-0
28,1,786-0 ,ABO,786-0
11182,1,786-0 ,SLC2A6,786-0
144195,1,786-0 ,SLC2A14,786-0
154091,1,786-0 ,SLC2A12,786-0
155184,1,786-0 ,SLC2A7,786-0
29988,1,786-0 ,SLC2A8,786-0
56606,1,786-0 ,SLC2A9,786-0
6517,1,786-0 ,SLC2A4,786-0
66035,1,786-0 ,SLC2A11,786-0
81031,1,786-0 ,SLC2A10,786-0
5264,1,786-0 ,PHYH,786-0
27034,1,786-0 ,ACAD8,786-0
113189,1,786-0 ,CHST14,786-0
166012,1,786-0 ,CHST13,786-0
50515,1,786-0 ,CHST11,786-0
55501,1,786-0 ,CHST12,786-0
10026,1,786-0 ,PIGK,786-0
128869,1,786-0 ,PIGU,786-0
51604,1,786-0 ,PIGT,786-0
8733,1,786-0 ,GPAA1,786-0
94005,1,786-0 ,PIGS,786-0
36,1,786-0 ,ACADSB,786-0
51146,1,786-0 ,A4GNT,786-0
3034,0.996127436,786-0 ,HAL,786-0
10229,1,786-0 ,COQ7,786-0
4668,1,786-0 ,NAGA,786-0
8942,0.997127205,786-0 ,KYNU,786-0
6799,1,786-0 ,SULT1A2,786-0
6817,1,786-0 ,SULT1A1,786-0
6818,1,786-0 ,SULT1A3,786-0
1644,1,786-0 ,DDC,786-0
3067,1,786-0 ,HDC,786-0
2618,1,786-0 ,GART,786-0
197258,1,786-0 ,FCSK,786-0
2235,1,786-0 ,FECH,786-0
23169,1,786-0 ,SLC35D1,786-0
4245,1,786-0 ,MGAT1,786-0
4842,1,786-0 ,NOS1,786-0
4843,1,786-0 ,NOS2,786-0
4844,1,786-0 ,NOS2P2,786-0
4845,1,786-0 ,NOS2P1,786-0
4846,1,786-0 ,NOS3,786-0
10993,1,786-0 ,SDS,786-0
1603,1,786-0 ,DAD1,786-0
1650,1,786-0 ,DDOST,786-0
6184,1,786-0 ,RPN1,786-0
6185,1,786-0 ,RPN2,786-0
80142,1,786-0 ,PTGES2,786-0
9536,1,786-0 ,PTGES,786-0
2271,0.936610052,786-0 ,FH,786-0
246213,1,786-0 ,SLC17A8,786-0
57030,1,786-0 ,SLC17A7,786-0
57084,1,786-0 ,SLC17A6,786-0
2583,1,786-0 ,B4GALNT1,786-0
51227,1,786-0 ,PIGP,786-0
5277,1,786-0 ,PIGA,786-0
5279,1,786-0 ,PIGC,786-0
5283,1,786-0 ,PIGH,786-0
8818,1,786-0 ,DPM2,786-0
9091,1,786-0 ,PIGQ,786-0
376497,1,786-0 ,SLC27A1,786-0
54187,1,786-0 ,NANS,786-0
7841,1,786-0 ,MOGS,786-0
246,1,786-0 ,ALOX15,786-0
247,1,786-0 ,ALOX15B,786-0
410,1,786-0 ,ARSA,786-0
6319,1,786-0 ,SCD,786-0
10998,1,786-0 ,SLC27A5,786-0
1152,1,786-0 ,CKB,786-0
1158,1,786-0 ,CKM,786-0
3931,1,786-0 ,LCAT,786-0
27349,1,786-0 ,MCAT,786-0
10007,1,786-0 ,GNPDA1,786-0
