genelistrounded,grRatio,CL,Gene,Cell Line
57026,1,ADR-RES,PDXP,ADR-RES
5728,1,ADR-RES,PTEN,ADR-RES
5172,1,ADR-RES,SLC26A4,ADR-RES
4907,1,ADR-RES,NT5E,ADR-RES
3658,1,ADR-RES,IREB2,ADR-RES
48,1,ADR-RES,ACO1,ADR-RES
55650,1,ADR-RES,PIGV,ADR-RES
1468,1,ADR-RES,SLC25A10,ADR-RES
51179,1,ADR-RES,HAO2,ADR-RES
54363,1,ADR-RES,HAO1,ADR-RES
27235,1,ADR-RES,COQ2,ADR-RES
79087,1,ADR-RES,ALG12,ADR-RES
2523,1,ADR-RES,FUT1,ADR-RES
6581,1,ADR-RES,SLC22A3,ADR-RES
847,1,ADR-RES,CAT,ADR-RES
53947,1,ADR-RES,A4GALT,ADR-RES
10327,1,ADR-RES,AKR1A1,ADR-RES
231,1,ADR-RES,AKR1B1,ADR-RES
1716,1,ADR-RES,DGUOK,ADR-RES
50808,1,ADR-RES,AK3,ADR-RES
2544,1,ADR-RES,SLC37A4,ADR-RES
10965,1,ADR-RES,ACOT2,ADR-RES
953,1,ADR-RES,ENTPD1,ADR-RES
954,1,ADR-RES,ENTPD2,ADR-RES
955,1,ADR-RES,ENTPD6,ADR-RES
956,1,ADR-RES,ENTPD3,ADR-RES
957,1,ADR-RES,ENTPD5,ADR-RES
64841,1,ADR-RES,GNPNAT1,ADR-RES
55089,1,ADR-RES,SLC38A4,ADR-RES
28232,1,ADR-RES,SLCO3A1,ADR-RES
9488,1,ADR-RES,PIGB,ADR-RES
6715,1,ADR-RES,SRD5A1,ADR-RES
6716,1,ADR-RES,SRD5A2,ADR-RES
8443,1,ADR-RES,GNPAT,ADR-RES
226,1,ADR-RES,ALDOA,ADR-RES
230,1,ADR-RES,ALDOC,ADR-RES
6487,1,ADR-RES,ST3GAL3,ADR-RES
100,1,ADR-RES,ADA,ADR-RES
5372,1,ADR-RES,PMM1,ADR-RES
5373,1,ADR-RES,PMM2,ADR-RES
55276,1,ADR-RES,PGM2,ADR-RES
6529,1,ADR-RES,SLC6A1,ADR-RES
6538,1,ADR-RES,SLC6A11,ADR-RES
6539,1,ADR-RES,SLC6A12,ADR-RES
6540,1,ADR-RES,SLC6A13,ADR-RES
8309,1,ADR-RES,ACOX2,ADR-RES
3712,0.994979287,ADR-RES,IVD,ADR-RES
23483,1,ADR-RES,TGDS,ADR-RES
23057,1,ADR-RES,NMNAT2,ADR-RES
349565,1,ADR-RES,NMNAT3,ADR-RES
2548,1,ADR-RES,GAA,ADR-RES
11226,1,ADR-RES,GALNT6,ADR-RES
11227,1,ADR-RES,GALNT5,ADR-RES
114805,1,ADR-RES,GALNT13,ADR-RES
117248,1,ADR-RES,GALNT15,ADR-RES
2589,1,ADR-RES,GALNT1,ADR-RES
2590,1,ADR-RES,GALNT2,ADR-RES
2591,1,ADR-RES,GALNT3,ADR-RES
26290,1,ADR-RES,GALNT8,ADR-RES
50614,1,ADR-RES,GALNT9,ADR-RES
51809,1,ADR-RES,GALNT7,ADR-RES
55568,1,ADR-RES,GALNT10,ADR-RES
63917,1,ADR-RES,GALNT11,ADR-RES
79623,1,ADR-RES,GALNT14,ADR-RES
79695,1,ADR-RES,GALNT12,ADR-RES
8693,1,ADR-RES,GALNT4,ADR-RES
6505,1,ADR-RES,SLC1A1,ADR-RES
6506,1,ADR-RES,SLC1A2,ADR-RES
6507,1,ADR-RES,SLC1A3,ADR-RES
6511,1,ADR-RES,SLC1A6,ADR-RES
6512,1,ADR-RES,SLC1A7,ADR-RES
39,0.971538604,ADR-RES,ACAT2,ADR-RES
10678,1,ADR-RES,B3GNT2,ADR-RES
1036,1,ADR-RES,CDO1,ADR-RES
6476,1,ADR-RES,SI,ADR-RES
57282,1,ADR-RES,SLC4A10,ADR-RES
9498,1,ADR-RES,SLC4A8,ADR-RES
6448,1,ADR-RES,SGSH,ADR-RES
2542,1,ADR-RES,SLC37A4,ADR-RES
239,1,ADR-RES,ALOX12,ADR-RES
23396,1,ADR-RES,PIP5K1C,ADR-RES
8394,1,ADR-RES,PIP5K1A,ADR-RES
8395,1,ADR-RES,PIP5K1B,ADR-RES
5092,1,ADR-RES,PCBD1,ADR-RES
4597,0,ADR-RES,MVD,ADR-RES
26,1,ADR-RES,AOC1,ADR-RES
314,1,ADR-RES,AOC2,ADR-RES
8639,1,ADR-RES,AOC3,ADR-RES
3251,1,ADR-RES,HPRT1,ADR-RES
26873,1,ADR-RES,OPLAH,ADR-RES
2655,1,ADR-RES,GGCT,ADR-RES
6472,1,ADR-RES,SHMT2,ADR-RES
5834,1,ADR-RES,PYGB,ADR-RES
5836,1,ADR-RES,PYGL,ADR-RES
5837,1,ADR-RES,PYGM,ADR-RES
2181,1,ADR-RES,ACSL3,ADR-RES
978,1,ADR-RES,CDA,ADR-RES
2766,1,ADR-RES,GMPR,ADR-RES
51292,1,ADR-RES,GMPR2,ADR-RES
2135,1,ADR-RES,EXTL2,ADR-RES
8802,0.961735801,ADR-RES,SUCLG1,ADR-RES
8803,1,ADR-RES,SUCLA2,ADR-RES
11041,1,ADR-RES,B4GAT1,ADR-RES
284208,1,ADR-RES,B3GNTL1,ADR-RES
374907,1,ADR-RES,B3GNT8,ADR-RES
79369,1,ADR-RES,B3GNT4,ADR-RES
93010,1,ADR-RES,B3GNT7,ADR-RES
2651,1,ADR-RES,GCNT2,ADR-RES
65010,1,ADR-RES,SLC26A6,ADR-RES
1583,1,ADR-RES,CYP11A1,ADR-RES
291,1,ADR-RES,SLC25A4,ADR-RES
292,1,ADR-RES,SLC25A5,ADR-RES
293,1,ADR-RES,SLC25A6,ADR-RES
3158,0.999521106,ADR-RES,HMGCS2,ADR-RES
587,1,ADR-RES,BCAT2,ADR-RES
3242,0.98913421,ADR-RES,HPD,ADR-RES
3293,1,ADR-RES,HSD17B3,ADR-RES
216,1,ADR-RES,ALDH1A1,ADR-RES
224,1,ADR-RES,ALDH3A2,ADR-RES
501,1,ADR-RES,ALDH7A1,ADR-RES
8854,1,ADR-RES,ALDH1A2,ADR-RES
10317,1,ADR-RES,B3GALT5,ADR-RES
27306,1,ADR-RES,HPGDS,ADR-RES
5730,1,ADR-RES,PTGDS,ADR-RES
29920,1,ADR-RES,PYCR2,ADR-RES
65263,1,ADR-RES,PYCR3,ADR-RES
3283,1,ADR-RES,HSD3B1,ADR-RES
3028,0.994510108,ADR-RES,HSD17B10,ADR-RES
11164,1,ADR-RES,NUDT5,ADR-RES
3418,1,ADR-RES,IDH2,ADR-RES
8310,1,ADR-RES,ACOX3,ADR-RES
8228,1,ADR-RES,PNPLA4,ADR-RES
23539,1,ADR-RES,SLC16A8,ADR-RES
9123,1,ADR-RES,SLC16A3,ADR-RES
9194,1,ADR-RES,SLC16A7,ADR-RES
4507,1,ADR-RES,MTAP,ADR-RES
53354,1,ADR-RES,PANK1,ADR-RES
55229,1,ADR-RES,PANK4,ADR-RES
79646,1,ADR-RES,PANK3,ADR-RES
80025,1,ADR-RES,PANK2,ADR-RES
8647,1,ADR-RES,ABCB11,ADR-RES
8714,1,ADR-RES,ABCC3,ADR-RES
8869,1,ADR-RES,ST3GAL5,ADR-RES
51477,1,ADR-RES,ISYNA1,ADR-RES
7364,1,ADR-RES,UGT2B7,ADR-RES
7367,1,ADR-RES,UGT2B17,ADR-RES
5236,1,ADR-RES,PGM1,ADR-RES
2348,1,ADR-RES,FOLR1,ADR-RES
2351,1,ADR-RES,,ADR-RES
2352,1,ADR-RES,FOLR3,ADR-RES
29906,1,ADR-RES,ST8SIA5,ADR-RES
10588,1,ADR-RES,MTHFS,ADR-RES
5833,1,ADR-RES,PCYT2,ADR-RES
2593,1,ADR-RES,GAMT,ADR-RES
4128,1,ADR-RES,MAOA,ADR-RES
4129,1,ADR-RES,MAOB,ADR-RES
79178,1,ADR-RES,THTPA,ADR-RES
5297,1,ADR-RES,PI4KA,ADR-RES
5298,1,ADR-RES,PI4KB,ADR-RES
55361,1,ADR-RES,PI4K2A,ADR-RES
113235,1,ADR-RES,SLC46A1,ADR-RES
10768,1,ADR-RES,AHCYL1,ADR-RES
191,1,ADR-RES,AHCY,ADR-RES
140679,1,ADR-RES,SLC32A1,ADR-RES
